delta_power,delta_rel,theta_power,theta_rel,alpha_power,alpha_rel,beta_power,beta_rel,gamma_power,gamma_rel,spectral_entropy,peak_frequency,mean_frequency,amplitude_mean,amplitude_std,rms,delta_beta_ratio,theta_alpha_ratio,skewness,kurtosis,zero_crossing_rate,hjorth_activity,hjorth_mobility,hjorth_complexity
81.0077,0.4393,52.2067,0.3245,14.6557,0.1022,11.5172,0.0871,0.5203,0.006,1.7777,2.54,5.2055,14.7413,18.2589,18.5178,10.1262,4.2181,-0.0198,0.0224,0.022,394.6269,0.0734,4.2062
178.3922,0.4043,114.5383,0.2805,80.7451,0.2039,22.458,0.0653,2.3323,0.0075,1.8509,2.288,5.446,27.5803,33.5576,34.1413,10.6483,1.6257,0.0985,-0.2066,0.021,1247.4547,0.0702,4.7672
43.8969,0.3011,47.4633,0.3427,24.1431,0.1745,12.6975,0.1052,1.0059,0.0125,2.0455,3.424,6.7097,11.101,13.8679,14.0063,4.26,2.5198,0.0273,0.0457,0.031,216.1414,0.0983,2.9375
65.3977,0.3331,45.7984,0.2788,19.5417,0.1454,16.3272,0.1571,2.2965,0.0197,2.1343,2.772,7.4714,12.7949,16.1431,16.4465,3.9245,2.4741,0.1513,0.3793,0.0294,341.8563,0.1054,3.5507
